trials,feedback_start,baseline_start,reward,gamble_rt,rpe
26,346.12834000005387,347.8324199001072,1.0,1.7828812000807377,0.0013792416359248
27,350.19591630005743,351.88050350011326,1.0,0.6675439999671653,0.0004804630006283
28,354.3649410000071,356.0621141000884,0.0,0.5762376999482512,-0.9998326292587464
29,358.09102880000137,359.7768481000094,0.0,0.3176526000024751,-0.6517052758071397
30,361.9564254001016,363.62532070011366,1.0,0.3788046999834478,0.2270235063848253
31,365.7492763000773,367.4400784000754,0.0,0.5123946000821888,-0.9209156740561464
32,369.68681890005246,371.3716085000197,1.0,0.3477120000170544,0.6791962361359777
33,374.8108832000289,376.50271370005794,1.0,1.5809619000647217,0.2366000656661803
34,379.4063620000379,381.1007556000259,0.0,0.8140569999814034,-0.9175796506298166
35,383.1568091000663,384.84892750007566,0.0,0.3862679000012576,-0.3196416500009892
36,387.1047744000098,388.7972506000661,1.0,0.3178006999660283,0.1113481367478301
37,391.2017036000034,392.8951842000242,1.0,0.2980784000828862,0.0387884606313824
38,395.00330100010615,396.69351240003016,1.0,0.4019500000867992,0.0135120777239374
39,399.2770790000213,400.97512570000254,1.0,0.4896900000749156,0.0047069731937238
40,403.2169549000682,404.9065313000465,1.0,0.3808764999266714,0.0016396883661484
41,407.4571772000054,409.1546239000745,1.0,0.5112803999800235,0.0005711904078118
42,411.5410381000256,413.2361220000312,1.0,0.3854582000058144,0.0001989759082956
43,415.5487202000804,417.23428070009686,1.0,0.4843141000019386,6.931386021302721e-05
44,419.53434400004335,421.23253870010376,1.0,0.3244922000449151,2.41456931081574e-05
45,423.4313498000847,425.13082150009,1.0,0.4720694000134244,8.411225314586268e-06
46,427.2103993000928,428.895742700086,1.0,0.3877241999143734,2.9300758099815027e-06
47,431.2527337000938,432.9439517999999,1.0,0.3364984999643639,1.0207007815621338e-06
48,435.4075545000378,437.0920821001055,1.0,0.4600019999779761,3.555642081876087e-07
49,439.40260940010194,441.0902848000405,0.0,0.3242156999185681,-0.9999998761381312
50,443.2645991001045,444.95517790003214,0.0,0.2996526999631896,-0.3483529851497673
51,447.1372903001029,448.8200139000546,1.0,0.2948971999576315,0.1213498172933691
52,451.0395848000189,452.7349749000277,1.0,0.3585641999961808,0.0422725763374842
53,455.14707780000754,456.83316440007184,1.0,0.4529645999427885,0.0147257799810966
54,459.0792905000271,460.7645498000784,0.0,0.3855197000084445,-0.9948702299495432
55,463.2934625000926,464.9794585000491,1.0,0.5258854000130668,0.6534339426341217
56,467.221714100102,468.911117700045,1.0,0.3310165000148117,0.2276256927089217
57,471.524425300071,473.2090093001025,0.0,0.5034650999587029,-0.920705900626548
58,475.60445780004375,477.2905090000713,1.0,0.3268438000231981,0.3207306886545655
59,479.9690915000392,481.6551243000431,1.0,0.947806700016372,0.1117275066607362
60,484.1657944000326,485.8533274000511,0.0,0.5670864999992773,-0.9610793847106118
61,487.9909343000036,489.68493670003954,0.0,0.4968460000818595,-0.3347949140981668
62,491.8766980000073,493.5663276000414,1.0,0.5195238000014797,0.1166268221846725
63,495.8988056000089,497.5147312000626,1.0,0.6376857999712229,0.0406273066887359
64,500.2070032000775,501.8960477000801,0.0,0.7773556000320241,-0.9858473546834108
65,504.08272190007847,505.7776658000657,1.0,0.3327861999860033,0.6565770885570289
66,507.7304193000309,509.4092815000331,0.0,0.0585233999881893,-0.7712793828904528
67,511.68045850005,513.3740565000335,0.0,0.3757953000022098,-0.2686775086932579
68,515.2902286000317,516.9891970000463,0.0,0.3098942999495193,-0.906405376211296
69,519.0615617000731,520.7375353000825,1.0,0.3579272000351921,0.6842509423317289
70,522.9059998000739,524.5857353000902,1.0,0.3961891001090407,0.238360887876624
71,527.1824281000299,528.867119600065,1.0,0.917724100057967,0.0830337371194848
72,530.965955200023,532.665414600051,1.0,0.4334227000363171,0.0289250537764247
73,535.5765066000167,537.2634291000431,1.0,1.0201429000589997,0.0100761300766833
74,539.3814966001082,541.0781225000974,0.0,0.4035307000158354,-0.9964899495742686
75,543.4384311001049,545.1097268000012,1.0,0.2983906998997554,0.6528697083978559
76,547.2736544000218,548.9413321000757,1.0,0.3748426000820473,0.2274291400040494
77,550.904927500058,552.5896450000582,1.0,0.3591203999239951,0.0792256296434894
78,554.7332142000087,556.4213810000801,1.0,0.3220349999610334,0.0275984880050796
79,558.5302458000369,560.2196472000796,0.0,0.4098987999605015,-0.9903859831270004
80,562.4383277000161,564.134539800114,1.0,0.3115234000142663,0.6549960435943877
